time, theta, alpha, low_beta, high_beta, gamma
8141,1342.064535,361.330422,252.5048115,52.06403607,8.062771206
8141,762.7355318,205.207365,176.5595643,34.09354824,5.822959023
8241,1102.051929,449.9635724,299.9266191,49.09627969,4.131161859
8241,3065.844233,430.2190983,318.24708,73.74916317,13.67956822
8241,453.3177053,227.2802722,109.6213236,58.2407371,19.68723038
8241,1043.2682,298.2691281,299.4444968,46.21629714,5.798246882
8241,721.8600098,232.2793888,255.1133092,38.74796542,3.821683163
8341,1232.783548,688.557419,411.6819831,73.90128553,5.377884702
8341,4080.247937,560.5885507,445.6278812,115.4995368,19.09165207
8341,703.4799711,340.6408012,205.2474768,102.0622082,37.82161852
8341,1258.952309,400.6992179,423.3485612,65.56544278,7.416592696
8341,1037.490929,372.6124018,398.9846626,67.9679043,8.197868086
8442,2348.84579,1338.691188,630.1748359,139.3522766,10.04187745
8442,5902.029141,866.7166981,689.8144213,191.5125917,27.37420753
8442,948.360732,473.8399632,359.8627945,181.9242557,74.41747196
8442,1920.780831,641.1315964,619.3839036,106.4496363,10.86370408
8442,1713.088743,617.3754537,592.1650483,110.6272294,15.05162915
8643,4160.632412,2382.885709,901.6500074,249.0880704,22.64399004
8643,7276.342978,1374.608685,924.840764,309.4963772,43.06021897
8643,1178.992275,620.3783375,582.223951,309.9694289,135.4225684
8643,2887.97454,972.0146648,810.062708,169.0040319,19.20161937
8643,2559.48815,868.1011048,792.9721727,171.6762996,26.8829021
8744,7091.487517,3638.090493,1270.87322,376.1580931,29.38071036
8744,9172.431095,2009.649576,1273.991056,449.2938466,54.62605336
8744,1313.505414,738.1484895,832.0476683,479.0917928,216.553843
8744,3894.621931,1310.971363,1039.959535,229.8536677,21.17931079
8744,3481.394988,1151.946741,1012.620714,227.0367832,37.40374026
8844,9110.174626,4684.575234,1449.912389,499.7009377,34.6148219
8844,9579.600946,2539.732765,1421.2948,584.5909485,64.77967945
8844,1359.916538,805.5425221,1060.97258,655.8172222,300.82726
8844,4736.651277,1499.356289,1070.425763,283.4547191,21.79801228
8844,4249.714614,1269.000398,1067.821125,274.2135444,47.48240323
8944,11150.07266,5493.859527,1671.726691,590.0430563,37.66937031
8944,9518.941627,2985.640102,1578.650152,671.8802812,69.87149992
8944,1280.357133,793.7357799,1196.877815,789.8955601,363.9631804
8944,5053.770481,1796.196629,1137.721614,315.251412,20.25836538
8944,4543.136498,1541.399344,1136.818216,300.2886348,53.34954128
9146,11788.22252,5547.989795,1680.675446,623.9025774,41.38241249
9146,8811.98511,2996.818518,1546.493589,697.0453975,72.98856037
9146,1122.387179,706.0262508,1198.154731,837.3571411,384.9949847
9146,5730.305233,1826.693694,1082.808737,324.5448532,20.79649338
9146,5325.983193,1595.132625,1099.367649,311.2515968,58.4367194
9246,12162.40869,5281.57083,1661.275531,605.7912721,44.06531703
9246,8050.544895,2880.567919,1455.683294,655.9072789,71.18106361
9246,900.7920148,564.0163053,1058.827433,778.0012249,355.56024
9246,6592.475919,2080.604397,1080.884697,321.7139063,23.94889695
9246,6355.935808,1895.800356,1100.821763,306.5181576,58.85512288
9347,12736.95269,4865.72852,1598.496999,558.9315696,51.62343761
9347,8215.956741,2646.688517,1331.981345,572.5062161,71.0103994
9347,684.4277364,409.1296286,822.8821795,630.3115834,285.0251517
9347,9192.065431,2591.100295,1144.996885,324.2190098,33.78947396
9347,9304.261795,2456.817721,1173.462342,310.220367,62.88114416
9448,14549.16093,4766.444602,1617.848931,514.9937185,64.37161178
9448,9558.302535,2520.35222,1264.539126,483.1487778,73.60411542
9448,458.0094151,267.3147183,551.1608494,438.2341228,195.5894952
9448,13384.28978,3486.75925,1342.372407,344.5097124,49.21625638
9448,13769.09329,3409.604094,1390.065764,331.5254893,71.45986198
9648,17581.978,4903.908217,1716.005967,491.6098549,78.17529382
9648,11892.67191,2563.995443,1280.132216,417.7951506,79.4881699
9648,287.0312188,164.8684388,315.7476331,254.7325336,111.9068903
9648,18814.42887,4557.902147,1625.058488,382.6242537,67.10733608
9648,19590.41986,4412.435062,1662.668606,366.3221849,81.05032432
9748,20932.22627,5268.499652,1831.381866,482.4581264,91.82272821
9748,14243.39073,2700.083141,1349.725934,385.4970997,87.39908337
9748,154.0443339,112.4144193,154.9300139,122.9205685,52.16241093
9748,23613.27247,5486.88262,1881.816871,419.0606168,82.99155773
9748,24557.44171,5285.154644,1936.426054,401.5301406,91.18917064
9849,23350.2665,5609.864848,1904.530053,479.8387791,100.2729446
9849,15707.09379,2834.192742,1409.758854,370.2318154,93.42637087
9849,98.87434341,84.26543014,70.74991136,47.29865593,20.04409146
9849,26534.23867,6020.159353,2030.612552,436.2918624,92.00954241
9849,27519.36644,5699.638284,2059.126872,418.1665876,96.08968313
9950,24872.0587,5842.641175,2016.883515,468.6163816,104.8074546
9950,15932.09727,2967.539101,1441.18277,360.7096256,97.32882478
9950,71.66247515,65.2744951,41.96813928,17.2806486,7.947631318
9950,26666.5166,6107.02808,2094.592256,425.9466335,94.29157564
9950,27238.49757,5528.693772,2065.813734,399.8726269,91.45678698
10151,24895.32906,6069.708969,1969.865865,450.70415,103.992006
10151,15218.68784,3212.746884,1429.275174,350.1729014,100.2245293
10151,42.3146895,58.4330141,33.98896019,8.559867152,4.343805079
10151,24438.18175,5964.961841,1982.397012,394.5696224,91.71821022
10151,24002.08078,4861.950405,1816.363148,345.0562726,76.54410915
10251,25347.3499,6628.135694,2125.036603,454.8756756,103.8156334
10251,14344.87557,3735.023817,1468.837212,357.0522739,104.7895982
10251,31.31383617,50.41164397,32.9558973,6.101742299,3.288391465
10251,21402.66586,5949.457731,1940.183541,365.3680848,90.02059311
10251,19242.53933,4036.538339,1562.815212,273.9064223,58.03290282
10352,26071.302,7415.557332,2343.688269,477.1257137,108.3138076
10352,14117.83019,4364.740098,1603.274511,376.9174659,111.3276219
10352,31.91885631,42.11139165,34.89079133,5.393721991,3.211403428
10352,18751.72277,6115.8141,1966.446211,348.0116281,91.09853721
10352,14402.84591,3290.592936,1313.464149,203.208242,39.67392904
10452,26579.91429,8144.355474,2570.360232,507.1198408,113.3858081
10452,13921.67618,5014.858076,1734.07657,403.9482627,117.7155941
10452,33.64343883,34.47379715,35.09570302,4.623320762,2.954415204
10452,16810.48746,6397.126535,2014.786076,343.2668404,93.36940296
10452,10562.40044,2765.924398,1126.747501,148.051654,25.68233047
10653,25778.65108,8351.6699,2656.754408,517.9740346,113.7346398
10653,13554.54705,5274.845619,1823.8519,418.3999206,119.2880666
10653,34.52192742,27.88794349,32.64419565,3.660773781,2.572685675
10653,15322.40474,6414.877739,2019.208956,335.7021001,93.02306977
10653,7923.85725,2415.207133,981.8519273,111.740252,17.05349347
10754,22855.18642,7696.961173,2482.97347,484.5137338,104.6937193
10754,12274.0454,4981.135839,1751.03995,404.0644182,112.3619387
10754,32.70412652,22.52321216,27.47644458,2.666072494,2.176861866
10754,13425.95988,5888.083639,1859.080733,308.8631559,85.90409609
10754,6062.025725,2082.6592,832.9138394,87.39417875,12.27735969
10855,17906.13099,6194.110549,2026.862378,399.6270766,85.25976094
10855,10054.51864,4143.474978,1496.545416,353.8053108,96.08515313
10855,26.69509737,17.55437723,20.68340716,1.900250186,1.874091648
10855,10822.02792,4747.019275,1526.639784,255.1147812,71.22524725
10855,4456.023965,1664.052211,651.9445989,68.73238682,9.554083597
10956,12031.84243,4366.883223,1446.426092,298.2861034,64.28435935
10956,7550.583619,3102.806879,1171.282654,287.0252188,77.78534367
10956,20.87792473,12.6883433,13.91851336,1.364184173,1.744578716
10956,7933.25684,3402.771125,1116.675275,194.6479304,55.64606478
10956,2983.042155,1212.322181,466.7082101,55.99355753,11.44692316
11156,6834.285439,2473.594014,853.0169132,175.0889776,36.40096691
11156,5167.718181,2014.900037,810.2139835,206.5721432,54.40047478
11156,14.05435447,8.50092924,9.016110499,1.052512301,1.663997423
11156,5054.99318,1958.093755,680.0337272,116.7187714,33.41438385
11156,1670.755766,704.1861895,260.5928753,31.06299579,5.263911174
11257,3169.180211,1123.470505,404.8574521,81.07048074,17.38428667
11257,3544.714707,1205.080959,520.1931836,141.696821,37.51517331
11257,9.93097427,5.508778931,5.782721219,0.873753044,1.6661142
11257,3055.631477,926.5874828,354.8569954,57.35660286,18.10450863
11257,812.1846071,360.1195826,123.8333806,13.65008217,2.208162278
11358,1195.913138,411.0312297,148.5184693,30.78489204,7.278796241
11358,2575.231856,744.398398,336.4645278,99.13866634,26.81555797
11358,8.11334891,3.547300218,4.512140366,0.781394323,1.657902298
11358,1846.387268,380.1522121,162.902306,25.6007964,9.868933154
11358,380.7056091,170.9456251,49.78774323,6.38725118,1.506798368
11458,662.5526807,112.4262458,93.14567566,13.60945825,5.698828847
11458,1996.774762,500.6757666,240.0260725,71.78221476,20.1754039
11458,7.357284963,2.603642415,3.816450888,0.754163194,1.655452077
11458,1218.92256,144.3849675,88.56830063,11.74730198,6.018053601
11458,311.2412252,94.19237341,39.94523955,7.182923915,2.803304259
11559,315.023135,58.35015834,31.3683243,4.491327635,1.732261413
11559,1505.687229,357.3817137,166.9453177,52.49014717,15.39696784
11559,7.052267429,2.016604462,3.476365501,0.809873876,1.720362237
11559,897.515488,97.87535209,49.35241742,7.311675369,4.271432696
11559,301.9269631,92.05646317,26.84395875,7.825076893,3.175660342
11760,350.1449288,87.44408563,59.89237986,17.72894178,7.924674899
11760,969.0098435,243.5448078,130.4809626,40.21694475,14.07366967
11760,6.6383624,1.756186688,3.292315404,0.919524852,1.890739536
11760,579.3210761,96.98058127,58.92351393,19.18608601,9.252500233
11760,346.2514831,105.4821427,42.27999868,17.90967133,7.788115421
11860,250.1723136,73.04116048,47.84454218,15.63107129,7.174143445
11860,618.8956183,137.2203878,65.5557574,24.95374947,10.45126383
11860,6.030684218,1.581843942,3.17508546,1.091483087,2.138910148
11860,436.1829746,84.98363259,38.0800775,16.8974054,8.605581388
11860,264.9936921,95.46326701,35.21724524,17.31502089,7.591443665
11961,251.0169737,81.62416834,55.33051253,16.79900651,7.835709445
11961,235.0903672,75.26761685,50.56048132,17.14711095,9.609048894
11961,5.561961451,1.484485298,3.141176331,1.272642885,2.380739423
11961,197.1754567,70.74344724,38.24665253,15.80192931,8.334284996
11961,288.1498985,101.8086409,40.29007582,18.86650654,8.219043627
12061,173.4311336,66.6309836,39.00260463,13.85886638,6.727307753
12061,188.6962041,43.9767346,23.42739466,11.44132146,8.348536148
12061,5.69471675,1.481233506,2.996340763,1.391941056,2.524444901
12061,186.8245269,60.75246431,21.01484245,11.9715946,7.131916808
12061,192.6213334,97.24830168,33.63117029,17.95158615,7.682573972
12161,173.4311336,66.6309836,39.00260463,13.85886638,6.727307753
12161,188.6962041,43.9767346,23.42739466,11.44132146,8.348536148
12161,5.69471675,1.481233506,2.996340763,1.391941056,2.524444901
12161,186.8245269,60.75246431,21.01484245,11.9715946,7.131916808
12161,192.6213334,97.24830168,33.63117029,17.95158615,7.682573972
12261,207.1554738,64.76611786,37.0743121,13.52394476,6.925965425
12261,56.06459374,20.35917902,25.33574122,8.930951193,8.490615145
12261,5.749761532,1.549593641,2.734796134,1.432562949,2.512663415
12261,88.84787476,36.15609622,18.95320509,8.83879983,5.960424499
12261,214.4219166,94.63411497,36.00068003,18.01264802,7.546710172
