time, theta, alpha, low_beta, high_beta, gamma,
1576.0 ,  932.820935139 ,  783.858342195 ,  652.760837533 ,  336.495926166 ,  216.586481719 , 
1576.0 ,  3748.59854244 ,  1561.85846343 ,  1106.87615827 ,  346.991274214 ,  504.016691057 , 
1677.0 ,  573.02491069 ,  448.83909294 ,  276.167779046 ,  240.823198714 ,  195.270811032 , 
1677.0 ,  487.029025458 ,  444.075163597 ,  284.123354553 ,  229.405085144 ,  149.304747515 , 
1678.0 ,  95.7572110727 ,  43.7487942802 ,  56.5269739156 ,  24.8794251336 ,  25.9783205794 , 
1679.0 ,  645.888765272 ,  585.723826024 ,  468.989237093 ,  273.638843782 ,  168.661630819 , 
1681.0 ,  2286.55986407 ,  1209.3431184 ,  718.002183074 ,  261.572534293 ,  368.063736534 , 
1782.0 ,  482.113790479 ,  422.792505554 ,  251.04526824 ,  183.525903551 ,  130.124136614 , 
1782.0 ,  323.26402878 ,  405.666406212 ,  265.886070986 ,  179.197369595 ,  104.250336814 , 
1783.0 ,  84.1564812248 ,  35.6078000418 ,  45.7799945387 ,  16.7263055364 ,  18.0777413765 , 
1784.0 ,  451.614875168 ,  456.73360504 ,  342.850958589 ,  216.866504025 ,  137.350653215 , 
1784.0 ,  1235.77074993 ,  959.649337047 ,  452.754880542 ,  204.392436551 ,  262.654439159 , 
1885.0 ,  484.572432041 ,  397.791597804 ,  265.998699995 ,  154.269731042 ,  97.1716338646 , 
1886.0 ,  249.231974275 ,  387.15986712 ,  303.868854796 ,  151.552423218 ,  83.0205179592 , 
1887.0 ,  81.7132963009 ,  31.2984129482 ,  42.2074229568 ,  13.8349441309 ,  13.440720968 , 
1888.0 ,  338.455308031 ,  401.395086488 ,  274.980080121 ,  169.886144795 ,  125.482050769 , 
1889.0 ,  698.889754748 ,  810.98963873 ,  320.863331041 ,  174.87186463 ,  197.432639527 , 
1990.0 ,  544.452663267 ,  380.852194962 ,  310.423028058 ,  151.903200314 ,  90.0723634597 , 
1990.0 ,  246.842467087 ,  387.127197046 ,  367.455283305 ,  141.360544486 ,  80.6989326328 , 
1991.0 ,  73.8063005498 ,  29.2112690797 ,  42.9631950988 ,  14.8347264642 ,  11.403299014 , 
1992.0 ,  293.864780681 ,  401.9854353 ,  236.00444536 ,  133.362271928 ,  127.262087866 , 
1993.0 ,  464.469001018 ,  747.32901039 ,  282.454777793 ,  167.744189942 ,  165.716278596 , 
2093.0 ,  645.811074022 ,  354.120187269 ,  351.504574836 ,  157.656847648 ,  100.985379729 , 
2094.0 ,  301.939870807 ,  378.695390712 ,  415.724293912 ,  139.158023807 ,  93.4023089187 , 
2095.0 ,  70.6516478842 ,  29.7572852209 ,  45.7243852922 ,  17.3833890125 ,  10.9543759634 , 
2095.0 ,  285.513142581 ,  400.904886658 ,  202.136082653 ,  107.015093052 ,  142.403183863 , 
2096.0 ,  452.533056002 ,  734.766212525 ,  323.470751605 ,  183.181703735 ,  155.1511332 , 
2197.0 ,  645.811074022 ,  354.120187269 ,  351.504574836 ,  157.656847648 ,  100.985379729 , 
